463584	LJ111111	negative	I know I missed something here , but what does `` THud '' mean ?
463584	LJ111113	neutral	What do you think of Beside Ourselves as a title ?
113717	LJ111114	positive	:D I intend to be one someday .
251299	LJ111117	negative	LLLINKKK LLLINKKK IIIMAGEEELLLINKKK The choice to take Rocky out and put him in death row , is because
340641	LJ111119	neutral	LLLINKKK Some more mountains .
151978	LJ111120	positive	I am 's still yo friend grrrrl .
115956	LJ111122	positive	wait , ill dress it up in my love .
108959	LJ111124	negative	Some of the snakiest people on the face of the planet ...
47785	LJ111126	negative	Not just villains , I had wager .
127926	LJ111128	negative	Why could I not have taken a pic w/o him looking me dead in the face ?
136592	LJ111130	neutral	all in one albino makeup : talcam powder lolololol
47575	LJ111131	neutral	My thoughts are with you and your family .
25267	LJ111132	positive	Cool posts , dude ; very colorful , and artsy .
463584	LJ111136	positive	I look forward to reading it .
87324	LJ111138	neutral	Boondock Saints 2 comes out Oct. 31 !
11719	LJ111140	negative	I did get to talk to you a little !
434925	LJ111143	negative	I knew there was something off sounding about the title .
226553	LJ111145	positive	\* can still make it \* =) Boy , if you had changed dates a week later and I had probably be booked = P
100417	LJ111146	positive	I took a picture of all the manga I am giving up .
434925	LJ111148	neutral	There is already people lined up for twilight dos .
422182	LJ111149	neutral	-- For Week One over at LLLINKKK IIIMAGEEELLLINKKK brigits_flame .
8385	LJ111150	negative	Ghosties and dead people give me the willies , so cemetaries drive me mad .
178715	LJ111153	neutral	that just made my chest hurt .
103458	LJ111155	positive	: : hugs : : i am so sorry hon ..
50595	LJ111157	neutral	christmas was totally invented here .
171479	LJ111159	positive	And here I was looking forward to gaming time once the kids started school =/
60253	LJ111161	neutral	Cakes , why do they all look like cakes ?
102168	LJ111163	neutral	i am raoul and i live on the west coast of canada .
113717	LJ111164	negative	I know how you feel , I just graduated and finished my job so I am an unemployed nonstudent bum with no aims in life .
25267	LJ111167	negative	Hiya , I was wondering if youd mind unadding me from your friends list ?
136592	LJ111169	positive	hahahaha i bet you can use it as mascara and eyeliner too
103140	LJ111172	neutral	the LLLINKKK seventh generation LLLINKKK and LLLINKKK bottles are the same color .
60253	LJ111174	negative	This year 's prom dress assortment is a fabric realization of what can only be described as Betty Crocker 's nightmare .
434925	LJ111175	neutral	And how do people even have the time ?
94889	LJ111176	neutral	it is called the `` Striped-Pajama Squid '' ( Sepioloidea Lineolata )
54481	LJ111178	neutral	cook dinner for alot of them .
103140	LJ111179	neutral	but did your clothes get clean ?
60361	LJ111181	positive	your interests nail it to the basics ... that is good .
53298	LJ111183	neutral	With some small ( albeit notable ) exceptions , senior year at Poly has been the pits .
10260	LJ111186	positive	The other one , also hilarious .
434925	LJ111188	negative	I wish my life had nothing going on to the point where I could just wait in line for days to see a movie .
434925	LJ111190	positive	The Boat That Rocked ( the title it was released with in the UK and NZ ) is so much better .
127926	LJ111192	positive	Tell him it is because he looks so awesome .
111010	LJ111194	negative	I know I would get badly hooked .
102168	LJ111196	neutral	Someone posted this in a poetry community with a link to your journal , which is how I came to be here .
50595	LJ111197	positive	I hope you have a good time in Spainlandia and that your mammy is well .
127926	LJ111201	negative	Not quite so bad as Pickles , but a White Boy Dred Mullet ?
88710	LJ111203	positive	i still check on a regular basis .
463584	LJ111205	positive	That is a great title on its own , and it does pair perfectly with Among Others , too .
112944	LJ111208	neutral	So , we are spending a couple of months in Wales , with Mr. Mochi working at Cardiff Uni .
112641	LJ111209	positive	i had love to hear about what other ones you try and what you think of them !
10576	LJ111211	neutral	please email me direct at sextrumental@gmail.com .
254047	LJ111212	neutral	Oh if I were actually in the same state as you ...
37745	LJ111213	positive	And you are right about the season .
10260	LJ111215	positive	AAAHAHAHH OMG Dick in a Box is awesome .
570064	LJ111218	positive	I was thinking of you the other day !!!
11719	LJ111220	positive	I guess I had have to say yes , it is been pretty good .
367889	LJ111222	positive	Well , I am also game for rescheduling for a later show , if it will facilitate BN 's presence .
226553	LJ111224	positive	( I shall make this clear on a.f.p and cam .
13495	LJ111226	negative	I swear if the winds had not died down it would have burned all the way to the ocean .
17811	LJ111227	neutral	Perhaps we could comment on that post in LLLINKKK IIIMAGEEELLLINKKK gymclassheroes and ask for more details ?
34168	LJ111228	positive	It is like poetry in picture form , complete with some very nice soft shadows .
134089	LJ111230	negative	and happened to see the most horrific flat I have seen in my life .
34168	LJ111232	positive	Some of them are tiiiiny and as cute as buttons .
11719	LJ111235	neutral	Somebody else was asking me about pictures recently too .
53298	LJ111236	positive	but i will get a hotel and then meet yah on the beach , hahahoho .
13495	LJ111239	positive	Good to be home - despite the layer of fine ash on every surface in the house .
10576	LJ111241	positive	I think you mentioned this idea to me a few years ago , and yes , I do want one !
130518	LJ111243	neutral	Remember those investment fund commercials : Sooner or later , everyone retires .
367889	LJ111245	neutral	It 'd have to be the one of the two latter showings if I \* did \* go , since I have other commitments on Saturdays .
12523	LJ111246	negative	It is been what , 18 months since we accidentally ran into each other downtown ?
269854	LJ111248	positive	Ya gotta balance the `` touchy-feely '' with good business sense .
54481	LJ111250	positive	It feels good finally to be loved and there not be something else `` going on . ''
34168	LJ111254	positive	and I love this city , it is time to remember that .
335545	LJ111256	neutral	I take the MCAT in a few weeks .
54481	LJ111257	positive	I find it difficult not to be happy with him .
8385	LJ111259	positive	Its quiet , green , rich in history , and has a strong connection to the past .
65401	LJ111264	negative	I CAN NOT SEE YOU THROUGH THE SMOKE ! ''
53298	LJ111266	negative	I wanted to go camping at catalina last summer , but it never worked out .
136592	LJ111268	neutral	one shade for all skin tones !
570064	LJ111269	positive	Not the best , but I love chill photos .
132200	LJ111272	neutral	But Halloween night , we might be doing somthing ... City on Saturday , I will probably wear another costume i made .
54060	LJ111275	positive	dont forget about hooking us up !
311581	LJ111276	negative	lol well i am sure it does not help that he pulls off that hybrid Marx-Castro look so perfectly :D
50595	LJ111279	positive	we have better santas and mince pies than anywhere else ... except perhaps germany , norway and the rest of europe .
13495	LJ111281	positive	\* kneels down and kisses ash covered ground \* Thanks for the hug !
132200	LJ111283	negative	But im still trying to get a job with MAC , and that is looking bleak ... we will see .
141436	LJ111285	negative	It does not matter if I stretch , if I try to take it slow , it goes out .
108741	LJ111287	positive	I hope we are somewhat neighbors soon .
100960	LJ111289	neutral	Also you should be making sure supplies are taken care of before as there is only so much time left
559543	LJ111290	neutral	Some other dude has made a video of his attempt at playing through them , complete with a running commentary .
88710	LJ111291	neutral	e.g. scales , alloy , velvet , wire , silk , carapace , bark etc. .
60361	LJ111294	neutral	a professional sort of infatuation I guess .
13495	LJ111296	positive	I am one of the lucky ones who had a place to go that is not on fire and is not a random shelter .
115956	LJ111300	positive	not even kidding , i will be shaving this pup all the time .
44612	LJ111303	neutral	Still working the flight-points angle .
43468	LJ111305	neutral	I suppose this really just amounts to hanging out with the poetry kids more .
34168	LJ111308	positive	Canada is one of those places I really should go back to some time .
28944	LJ111310	neutral	Here it is : LLLINKKK Zeitgeist
149695	LJ111311	negative	I have never seen either of those shows , but I have heard of survivor .
100960	LJ111316	positive	can i come too ... watching is fun !!
151978	LJ111318	neutral	I WILL COME GET YOU if you want to come visit !
87207	LJ111319	positive	I hope everything ends up being okay \* hug \*
134089	LJ111322	positive	Its shows like this that have turned me into a clean freak !
643810	LJ111324	neutral	LLLINKKK IIIMAGEEE LLLINKKK can you read this ?
311581	LJ111325	neutral	he is got that Marx/early 1900s radical look down pat !
37203	LJ111327	positive	I do not know whether the Congress will follow suit for Congressional employees , but I sure hope so .
10260	LJ111330	positive	Ooh I love you for posting this :)
37203	LJ111333	negative	Looks like the Post got it wrong .
8385	LJ111335	neutral	, and since John Gough is buried there , I went and did part of my presenatation at his graveside .
149695	LJ111336	neutral	now both hulu and the main site only have clips and bits of the last 2 seasons .
